,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
hard coal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
natural gas steam turbine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
natural gas combined cycle,0,0,0,0,0,0,0,0,0,0,0,-0.22847096446915904,-0.22847096446915904,-0.22847096446915904,-0.22847096446915904,-0.22847096446915904,-0.22847096446915904,-0.22847096446915904,-0.22847096446915904,-0.22847096446915904,-0.22847096446915904,-0.22847096446915904,-0.22847096446915904,-0.22847096446915904,-0.22847096446915904,-0.22847096446915904,-0.22847096446915904,-0.22847096446915904,-0.22847096446915904,-0.22847096446915904
nuclear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hydro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
onshore wind,0.23877027532706152,0.24828620611146723,0.2578021368958725,0.26731806768027755,0.27683399846468326,0.28634992924908875,0.295865860033494,0.3053817908178993,0.31489772160230456,0.32441365238671027,0.3254841945999558,0.32655473681320135,0.3276252790264469,0.32869582123969265,0.3297663634529382,0.33083690566618373,0.3319074478794295,0.3329779900926748,0.334048532305921,0.335119074519167,0.3361896167324121,0.33726015894565786,0.3383307011589032,0.33940124337214916,0.3404717855853947,0.3415423277986396,0.3426128700118858,0.34368341222513155,0.34475395443837686,0.3458244966516224
solar PV,0,0.0027472706562834404,0.005494541312566437,0.008241811968849433,0.01098908262513243,0.013736353281415647,0.016483623937698866,0.019230894593981862,0.02197816525026508,0.0247254359065483,0.027472706562831295,0.03021997721911429,0.03296724787539751,0.03571451853168073,0.038461789187963724,0.04068401141018607,0.04290623363240842,0.045128455854630545,0.04735067807685267,0.04957290029907524,0.051795122521297365,0.05401734474351949,0.056239566965741616,0.058461789187963964,0.06068401141018631,0.06290623363240844,0.06512845585463056,0.06735067807685291,0.06957290029907526,0.07179512252129716
solar thermal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
biomass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
geothermal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
petroleum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
natural gas peaker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lignite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
offshore wind,0,0.004683648508412297,0.015388828499192986,0.02303407662311585,0.028930792251691484,0.033627682561326866,0.037561880675858195,0.040947371613982764,0.04400730348084059,0.046323835379317835,0.05025803349384894,0.053573246370066,0.05652305339054475,0.05914585213356549,0.061440070443948835,0.0629700363773773,0.06438987746442737,0.06570127683593796,0.06701267620744833,0.06810550901704038,0.06930689451783145,0.07032788908366538,0.07134572084319557,0.07229498814093094,0.07316925438860489,0.07404352063627839,0.07487950028133117,0.0757537665290049,0.07640946621476008,0.07728373246243359
crude oil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heavy or residual fuel oil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
municipal solid waste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hard coal w CCS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
natural gas combined cycle w CCS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
biomass w CCS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lignite w CCS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
small modular reactor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hydrogen combustion turbine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hydrogen combined cycle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
